,To,,,,,,,,,
From,,1,2,3,4,5,6,7,8,9
,1,0,0.001058,0.0002015,0.0005894,0,0,0,0,0
,2,0.001058,0,0.001112,0.0006417,0.0012126,0.001235,0.001175,0,0
,3,0.0002015,0.001112,0,0.0006433,0.00019506,0.0002174,0.0005274,0.00043706,0.00246
,4,0.0005894,0.0006417,0.0006433,0,0.000695,0.0007662,0.0005333,0.00047174,0.0020843
,5,0,0.0012126,0.00019506,0.000695,0,0.00015004,0.00045765,0.0002953,0.002331
,6,0,0.001235,0.0002174,0.0007662,0.00015004,0,0.0005288,0.00036645,0.002181
,7,0,0.001175,0.0005274,0.0005333,0.00045765,0.0005288,0,0.00016236,0.001048
,8,0,0,0.00043706,0.00047174,0.0002953,0.00036645,0.00016236,0,0.002143
,9,0,0,0.00246,0.0020843,0.002331,0.002181,0.001048,0.002143,0